date,away_team,away_pts,home_team,home_pts,ot,attendees,arena,link
2022-01-23 07:30:00,Memphis Grizzlies,91,Dallas Mavericks,104,0,19701,American Airlines Center,/boxscores/202201230DAL.html
2022-01-23 08:00:00,Detroit Pistons,111,Denver Nuggets,117,0,14060,Ball Arena,/boxscores/202201230DEN.html
2022-01-23 08:00:00,Brooklyn Nets,125,Minnesota Timberwolves,136,0,16475,Target Center,/boxscores/202201230MIN.html
2022-01-23 08:30:00,Utah Jazz,92,Golden State Warriors,94,0,18064,Chase Center,/boxscores/202201230GSW.html
2022-01-24 07:00:00,New York Knicks,93,Cleveland Cavaliers,95,0,17321,Rocket Mortgage Fieldhouse,/boxscores/202201240CLE.html
2022-01-24 08:00:00,Indiana Pacers,113,New Orleans Pelicans,117,0,15581,Smoothie King Center,/boxscores/202201240NOP.html
2022-01-24 08:00:00,Chicago Bulls,111,Oklahoma City Thunder,110,0,14378,Paycom Center,/boxscores/202201240OKC.html
2022-01-24 09:00:00,Utah Jazz,109,Phoenix Suns,115,0,17071,Phoenix Suns Arena,/boxscores/202201240PHO.html
2022-01-25 07:00:00,Denver Nuggets,110,Detroit Pistons,105,0,16023,Little Caesars Arena,/boxscores/202201250DET.html
2022-01-25 07:00:00,New Orleans Pelicans,107,Philadelphia 76ers,117,0,20121,Wells Fargo Center,/boxscores/202201250PHI.html
2022-01-25 07:00:00,Charlotte Hornets,113,Toronto Raptors,125,0,0,Scotiabank Arena,/boxscores/202201250TOR.html
2022-01-25 07:00:00,Los Angeles Clippers,116,Washington Wizards,115,0,13544,Capital One Arena,/boxscores/202201250WAS.html
2022-01-25 07:30:00,Sacramento Kings,75,Boston Celtics,128,0,19156,TD Garden,/boxscores/202201250BOS.html
2022-01-25 07:30:00,Los Angeles Lakers,106,Brooklyn Nets,96,0,18126,Barclays Center,/boxscores/202201250BRK.html
2022-01-25 08:00:00,San Antonio Spurs,134,Houston Rockets,104,0,15007,Toyota Center,/boxscores/202201250HOU.html
2022-01-25 10:00:00,Dallas Mavericks,92,Golden State Warriors,130,0,18064,Chase Center,/boxscores/202201250GSW.html
2022-01-25 10:00:00,Minnesota Timberwolves,109,Portland Trail Blazers,107,0,16422,Moda Center,/boxscores/202201250POR.html
2022-01-26 07:00:00,Milwaukee Bucks,99,Cleveland Cavaliers,115,0,18904,Rocket Mortgage Fieldhouse,/boxscores/202201260CLE.html
2022-01-26 07:00:00,Charlotte Hornets,158,Indiana Pacers,126,0,14116,Gainbridge Fieldhouse,/boxscores/202201260IND.html
2022-01-26 07:00:00,Los Angeles Clippers,111,Orlando Magic,102,0,12448,Amway Center,/boxscores/202201260ORL.html
2022-01-26 07:30:00,Sacramento Kings,104,Atlanta Hawks,121,0,15080,State Farm Arena,/boxscores/202201260ATL.html
2022-01-26 07:30:00,New York Knicks,96,Miami Heat,110,0,19600,FTX Arena,/boxscores/202201260MIA.html
2022-01-26 08:00:00,Denver Nuggets,124,Brooklyn Nets,118,0,18011,Barclays Center,/boxscores/202201260BRK.html
2022-01-26 08:00:00,Toronto Raptors,105,Chicago Bulls,111,0,20269,United Center,/boxscores/202201260CHI.html
2022-01-26 08:30:00,Memphis Grizzlies,118,San Antonio Spurs,110,0,14662,AT&T Center,/boxscores/202201260SAS.html
2022-01-26 10:00:00,Dallas Mavericks,132,Portland Trail Blazers,112,0,16334,Moda Center,/boxscores/202201260POR.html
2022-01-26 10:00:00,Phoenix Suns,105,Utah Jazz,97,0,18306,Vivint Smart Home Arena,/boxscores/202201260UTA.html
2022-01-27 07:30:00,Los Angeles Lakers,87,Philadelphia 76ers,105,0,20953,Wells Fargo Center,/boxscores/202201270PHI.html
2022-01-27 10:00:00,Minnesota Timberwolves,115,Golden State Warriors,124,0,18064,Chase Center,/boxscores/202201270GSW.html
2022-01-28 07:00:00,Detroit Pistons,103,Orlando Magic,119,0,13156,Amway Center,/boxscores/202201280ORL.html
2022-01-28 07:30:00,Boston Celtics,92,Atlanta Hawks,108,0,16932,State Farm Arena,/boxscores/202201280ATL.html
2022-01-28 07:30:00,Los Angeles Lakers,114,Charlotte Hornets,117,0,19469,Spectrum Center,/boxscores/202201280CHO.html
2022-01-28 08:00:00,Portland Trail Blazers,125,Houston Rockets,110,0,16100,Toyota Center,/boxscores/202201280HOU.html
2022-01-28 08:00:00,Utah Jazz,109,Memphis Grizzlies,119,0,16916,FedEx Forum,/boxscores/202201280MEM.html
2022-01-28 08:00:00,Los Angeles Clippers,114,Miami Heat,121,0,19600,FTX Arena,/boxscores/202201280MIA.html
2022-01-28 08:00:00,Denver Nuggets,116,New Orleans Pelicans,105,0,15254,Smoothie King Center,/boxscores/202201280NOP.html
2022-01-28 08:00:00,Indiana Pacers,113,Oklahoma City Thunder,110,1,15106,Paycom Center,/boxscores/202201280OKC.html
2022-01-28 08:30:00,Chicago Bulls,122,San Antonio Spurs,131,0,18354,AT&T Center,/boxscores/202201280SAS.html
2022-01-28 09:00:00,Minnesota Timberwolves,124,Phoenix Suns,134,0,17071,Phoenix Suns Arena,/boxscores/202201280PHO.html
2022-01-28 10:00:00,New York Knicks,108,Milwaukee Bucks,123,0,17341,Fiserv Forum,/boxscores/202201280MIL.html
2022-01-29 07:00:00,Indiana Pacers,105,Dallas Mavericks,132,0,19831,American Airlines Center,/boxscores/202201290DAL.html
2022-01-29 07:00:00,Boston Celtics,107,New Orleans Pelicans,97,0,16168,Smoothie King Center,/boxscores/202201290NOP.html
2022-01-29 07:30:00,Sacramento Kings,101,Philadelphia 76ers,103,0,20380,Wells Fargo Center,/boxscores/202201290PHI.html
2022-01-29 08:00:00,Washington Wizards,95,Memphis Grizzlies,115,0,17135,FedEx Forum,/boxscores/202201290MEM.html
2022-01-29 08:00:00,Toronto Raptors,124,Miami Heat,120,3,19600,FTX Arena,/boxscores/202201290MIA.html
2022-01-29 08:30:00,Brooklyn Nets,106,Golden State Warriors,110,0,18064,Chase Center,/boxscores/202201290GSW.html
2022-01-30 01:00:00,Los Angeles Lakers,121,Atlanta Hawks,129,0,17391,State Farm Arena,/boxscores/202201300ATL.html
2022-01-30 01:00:00,Los Angeles Clippers,115,Charlotte Hornets,90,0,18674,Spectrum Center,/boxscores/202201300CHO.html
2022-01-30 03:30:00,Portland Trail Blazers,116,Chicago Bulls,130,0,19521,United Center,/boxscores/202201300CHI.html
2022-01-30 06:00:00,Cleveland Cavaliers,105,Detroit Pistons,115,0,16811,Little Caesars Arena,/boxscores/202201300DET.html
2022-01-30 07:00:00,Denver Nuggets,136,Milwaukee Bucks,100,0,17341,Fiserv Forum,/boxscores/202201300MIL.html
2022-01-30 07:00:00,Dallas Mavericks,108,Orlando Magic,110,0,13376,Amway Center,/boxscores/202201300ORL.html
2022-01-30 08:00:00,Utah Jazz,106,Minnesota Timberwolves,126,0,10407,Target Center,/boxscores/202201300MIN.html
2022-01-30 08:00:00,San Antonio Spurs,110,Phoenix Suns,115,0,17071,Phoenix Suns Arena,/boxscores/202201300PHO.html
2022-01-31 07:00:00,New Orleans Pelicans,90,Cleveland Cavaliers,93,0,17637,Rocket Mortgage Fieldhouse,/boxscores/202201310CLE.html
2022-01-31 07:00:00,Los Angeles Clippers,116,Indiana Pacers,122,0,14629,Gainbridge Fieldhouse,/boxscores/202201310IND.html
2022-01-31 07:00:00,Memphis Grizzlies,119,Philadelphia 76ers,122,1,20424,Wells Fargo Center,/boxscores/202201310PHI.html
2022-01-31 07:30:00,Toronto Raptors,106,Atlanta Hawks,100,0,14168,State Farm Arena,/boxscores/202201310ATL.html
2022-01-31 07:30:00,Miami Heat,92,Boston Celtics,122,0,19156,TD Garden,/boxscores/202201310BOS.html
