date,away_team,away_pts,home_team,home_pts,ot,attendees,arena,link
2022-02-12 08:30:00,Los Angeles Lakers,115,Golden State Warriors,117,0,18064,Chase Center,/boxscores/202202120GSW.html
2022-02-12 09:00:00,Orlando Magic,105,Phoenix Suns,132,0,17071,Phoenix Suns Arena,/boxscores/202202120PHO.html
2022-02-13 02:00:00,Atlanta Hawks,95,Boston Celtics,105,0,19156,TD Garden,/boxscores/202202130BOS.html
2022-02-13 03:00:00,Minnesota Timberwolves,129,Indiana Pacers,120,0,13532,Gainbridge Fieldhouse,/boxscores/202202130IND.html
2022-02-14 07:00:00,Detroit Pistons,94,Washington Wizards,103,0,10793,Capital One Arena,/boxscores/202202140WAS.html
2022-02-14 07:30:00,Sacramento Kings,85,Brooklyn Nets,109,0,16873,Barclays Center,/boxscores/202202140BRK.html
2022-02-14 07:30:00,Oklahoma City Thunder,127,New York Knicks,123,1,18433,Madison Square Garden (IV),/boxscores/202202140NYK.html
2022-02-14 08:00:00,San Antonio Spurs,109,Chicago Bulls,120,0,21153,United Center,/boxscores/202202140CHI.html
2022-02-14 08:00:00,Portland Trail Blazers,122,Milwaukee Bucks,107,0,17341,Fiserv Forum,/boxscores/202202140MIL.html
2022-02-14 08:00:00,Toronto Raptors,90,New Orleans Pelicans,120,0,15319,Smoothie King Center,/boxscores/202202140NOP.html
2022-02-14 09:00:00,Orlando Magic,111,Denver Nuggets,121,0,15025,Ball Arena,/boxscores/202202140DEN.html
2022-02-14 09:00:00,Houston Rockets,101,Utah Jazz,135,0,18306,Vivint Smart Home Arena,/boxscores/202202140UTA.html
2022-02-14 10:30:00,Golden State Warriors,104,Los Angeles Clippers,119,0,19068,Crypto.com Arena,/boxscores/202202140LAC.html
2022-02-15 07:30:00,Cleveland Cavaliers,116,Atlanta Hawks,124,0,15947,State Farm Arena,/boxscores/202202150ATL.html
2022-02-15 07:30:00,Dallas Mavericks,107,Miami Heat,99,0,19600,FTX Arena,/boxscores/202202150MIA.html
2022-02-15 07:30:00,Boston Celtics,135,Philadelphia 76ers,87,0,20960,Wells Fargo Center,/boxscores/202202150PHI.html
2022-02-15 08:00:00,Indiana Pacers,119,Milwaukee Bucks,128,0,17341,Fiserv Forum,/boxscores/202202150MIL.html
2022-02-15 08:00:00,Charlotte Hornets,120,Minnesota Timberwolves,126,1,17136,Target Center,/boxscores/202202150MIN.html
2022-02-15 08:00:00,Memphis Grizzlies,121,New Orleans Pelicans,109,0,15901,Smoothie King Center,/boxscores/202202150NOP.html
2022-02-15 10:00:00,Los Angeles Clippers,96,Phoenix Suns,103,0,17071,Phoenix Suns Arena,/boxscores/202202150PHO.html
2022-02-16 07:00:00,Atlanta Hawks,130,Orlando Magic,109,0,14398,Amway Center,/boxscores/202202160ORL.html
2022-02-16 07:30:00,Detroit Pistons,112,Boston Celtics,111,0,19156,TD Garden,/boxscores/202202160BOS.html
2022-02-16 07:30:00,Washington Wizards,108,Indiana Pacers,113,0,14540,Gainbridge Fieldhouse,/boxscores/202202160IND.html
2022-02-16 07:30:00,Brooklyn Nets,111,New York Knicks,106,0,18916,Madison Square Garden (IV),/boxscores/202202160NYK.html
2022-02-16 08:00:00,Sacramento Kings,118,Chicago Bulls,125,0,19166,United Center,/boxscores/202202160CHI.html
2022-02-16 08:00:00,Portland Trail Blazers,123,Memphis Grizzlies,119,0,16834,FedEx Forum,/boxscores/202202160MEM.html
2022-02-16 08:00:00,Toronto Raptors,103,Minnesota Timberwolves,91,0,15982,Target Center,/boxscores/202202160MIN.html
2022-02-16 08:00:00,San Antonio Spurs,114,Oklahoma City Thunder,106,0,14920,Paycom Center,/boxscores/202202160OKC.html
2022-02-16 09:00:00,Houston Rockets,121,Phoenix Suns,124,0,17071,Phoenix Suns Arena,/boxscores/202202160PHO.html
2022-02-16 10:00:00,Denver Nuggets,117,Golden State Warriors,116,0,18064,Chase Center,/boxscores/202202160GSW.html
2022-02-16 10:00:00,Utah Jazz,101,Los Angeles Lakers,106,0,17787,Crypto.com Arena,/boxscores/202202160LAL.html
2022-02-17 07:00:00,Miami Heat,111,Charlotte Hornets,107,2,17029,Spectrum Center,/boxscores/202202170CHO.html
2022-02-17 07:30:00,Washington Wizards,117,Brooklyn Nets,103,0,17477,Barclays Center,/boxscores/202202170BRK.html
2022-02-17 08:00:00,Dallas Mavericks,125,New Orleans Pelicans,118,0,15906,Smoothie King Center,/boxscores/202202170NOP.html
2022-02-17 08:30:00,Philadelphia 76ers,123,Milwaukee Bucks,120,0,17341,Fiserv Forum,/boxscores/202202170MIL.html
2022-02-17 10:30:00,Houston Rockets,111,Los Angeles Clippers,142,0,17519,Crypto.com Arena,/boxscores/202202170LAC.html
2022-02-24 07:00:00,Cleveland Cavaliers,103,Detroit Pistons,106,0,15622,Little Caesars Arena,/boxscores/202202240DET.html
2022-02-24 07:30:00,Boston Celtics,129,Brooklyn Nets,106,0,17986,Barclays Center,/boxscores/202202240BRK.html
2022-02-24 08:00:00,Atlanta Hawks,108,Chicago Bulls,112,0,21236,United Center,/boxscores/202202240CHI.html
2022-02-24 08:00:00,Memphis Grizzlies,114,Minnesota Timberwolves,119,0,16326,Target Center,/boxscores/202202240MIN.html
2022-02-24 08:00:00,Phoenix Suns,124,Oklahoma City Thunder,104,0,14176,Paycom Center,/boxscores/202202240OKC.html
2022-02-24 10:00:00,Golden State Warriors,132,Portland Trail Blazers,95,0,20098,Moda Center,/boxscores/202202240POR.html
2022-02-24 10:00:00,Denver Nuggets,128,Sacramento Kings,110,0,15855,Golden 1 Center,/boxscores/202202240SAC.html
2022-02-25 07:00:00,Toronto Raptors,93,Charlotte Hornets,125,0,17577,Spectrum Center,/boxscores/202202250CHO.html
2022-02-25 07:00:00,Oklahoma City Thunder,129,Indiana Pacers,125,1,15182,Gainbridge Fieldhouse,/boxscores/202202250IND.html
2022-02-25 07:00:00,Houston Rockets,111,Orlando Magic,119,0,16631,Amway Center,/boxscores/202202250ORL.html
2022-02-25 07:00:00,San Antonio Spurs,157,Washington Wizards,153,2,15302,Capital One Arena,/boxscores/202202250WAS.html
2022-02-25 07:30:00,Miami Heat,115,New York Knicks,100,0,19812,Madison Square Garden (IV),/boxscores/202202250NYK.html
2022-02-25 08:00:00,Philadelphia 76ers,133,Minnesota Timberwolves,102,0,16684,Target Center,/boxscores/202202250MIN.html
2022-02-25 09:00:00,New Orleans Pelicans,117,Phoenix Suns,102,0,17071,Phoenix Suns Arena,/boxscores/202202250PHO.html
2022-02-25 09:00:00,Dallas Mavericks,109,Utah Jazz,114,0,18306,Vivint Smart Home Arena,/boxscores/202202250UTA.html
2022-02-25 10:00:00,Los Angeles Clippers,105,Los Angeles Lakers,102,0,18997,Crypto.com Arena,/boxscores/202202250LAL.html
2022-02-26 12:00:00,Boston Celtics,113,Detroit Pistons,104,0,19122,Little Caesars Arena,/boxscores/202202260DET.html
2022-02-26 07:30:00,Toronto Raptors,100,Atlanta Hawks,127,0,17870,State Farm Arena,/boxscores/202202260ATL.html
2022-02-26 08:00:00,Memphis Grizzlies,116,Chicago Bulls,110,0,21959,United Center,/boxscores/202202260CHI.html
2022-02-26 08:00:00,Washington Wizards,86,Cleveland Cavaliers,92,0,19432,Rocket Mortgage Fieldhouse,/boxscores/202202260CLE.html
2022-02-26 08:00:00,San Antonio Spurs,129,Miami Heat,133,0,19677,FTX Arena,/boxscores/202202260MIA.html
2022-02-26 08:30:00,Brooklyn Nets,126,Milwaukee Bucks,123,0,17341,Fiserv Forum,/boxscores/202202260MIL.html
2022-02-26 09:00:00,Sacramento Kings,110,Denver Nuggets,115,0,19520,Ball Arena,/boxscores/202202260DEN.html
2022-02-27 01:00:00,Philadelphia 76ers,125,New York Knicks,109,0,19812,Madison Square Garden (IV),/boxscores/202202270NYK.html
2022-02-27 03:30:00,Utah Jazz,118,Phoenix Suns,114,0,17071,Phoenix Suns Arena,/boxscores/202202270PHO.html
2022-02-27 05:00:00,Boston Celtics,107,Indiana Pacers,128,0,16872,Gainbridge Fieldhouse,/boxscores/202202270IND.html
2022-02-27 07:00:00,Detroit Pistons,127,Charlotte Hornets,126,1,15348,Spectrum Center,/boxscores/202202270CHO.html
2022-02-27 07:00:00,Los Angeles Clippers,99,Houston Rockets,98,0,14324,Toyota Center,/boxscores/202202270HOU.html
2022-02-27 07:30:00,Dallas Mavericks,107,Golden State Warriors,101,0,18064,Chase Center,/boxscores/202202270GSW.html
2022-02-27 09:00:00,Denver Nuggets,124,Portland Trail Blazers,92,0,17771,Moda Center,/boxscores/202202270POR.html
2022-02-27 10:00:00,New Orleans Pelicans,123,Los Angeles Lakers,95,0,17536,Crypto.com Arena,/boxscores/202202270LAL.html
2022-02-28 07:00:00,Minnesota Timberwolves,127,Cleveland Cavaliers,122,0,18421,Rocket Mortgage Fieldhouse,/boxscores/202202280CLE.html
2022-02-28 07:00:00,Indiana Pacers,103,Orlando Magic,119,0,13014,Amway Center,/boxscores/202202280ORL.html
2022-02-28 07:30:00,Toronto Raptors,133,Brooklyn Nets,97,0,17112,Barclays Center,/boxscores/202202280BRK.html
2022-02-28 07:30:00,Chicago Bulls,99,Miami Heat,112,0,19683,FTX Arena,/boxscores/202202280MIA.html
2022-02-28 08:00:00,San Antonio Spurs,105,Memphis Grizzlies,118,0,16812,FedEx Forum,/boxscores/202202280MEM.html
2022-02-28 08:00:00,Charlotte Hornets,106,Milwaukee Bucks,130,0,17341,Fiserv Forum,/boxscores/202202280MIL.html
2022-02-28 08:00:00,Sacramento Kings,131,Oklahoma City Thunder,110,0,13945,Paycom Center,/boxscores/202202280OKC.html
2022-03-01 07:00:00,Detroit Pistons,113,Washington Wizards,116,0,12122,Capital One Arena,/boxscores/202203010WAS.html
2022-03-01 07:30:00,Atlanta Hawks,98,Boston Celtics,107,0,19156,TD Garden,/boxscores/202203010BOS.html
2022-03-01 07:30:00,Brooklyn Nets,108,Toronto Raptors,109,0,18903,Scotiabank Arena,/boxscores/202203010TOR.html
2022-03-01 08:00:00,Los Angeles Clippers,113,Houston Rockets,100,0,12949,Toyota Center,/boxscores/202203010HOU.html
2022-03-01 08:00:00,Golden State Warriors,114,Minnesota Timberwolves,129,0,17136,Target Center,/boxscores/202203010MIN.html
2022-03-01 10:00:00,Dallas Mavericks,109,Los Angeles Lakers,104,0,17857,Crypto.com Arena,/boxscores/202203010LAL.html
2022-03-02 07:00:00,Charlotte Hornets,119,Cleveland Cavaliers,98,0,19019,Rocket Mortgage Fieldhouse,/boxscores/202203020CLE.html
2022-03-02 07:00:00,Indiana Pacers,122,Orlando Magic,114,1,11221,Amway Center,/boxscores/202203020ORL.html
2022-03-02 07:30:00,New York Knicks,108,Philadelphia 76ers,123,0,21333,Wells Fargo Center,/boxscores/202203020PHI.html
2022-03-02 08:00:00,Utah Jazz,132,Houston Rockets,127,1,13583,Toyota Center,/boxscores/202203020HOU.html
2022-03-02 08:00:00,Miami Heat,119,Milwaukee Bucks,120,0,17341,Fiserv Forum,/boxscores/202203020MIL.html
2022-03-02 08:00:00,Sacramento Kings,95,New Orleans Pelicans,125,0,15490,Smoothie King Center,/boxscores/202203020NOP.html
2022-03-02 09:00:00,Oklahoma City Thunder,119,Denver Nuggets,107,0,15167,Ball Arena,/boxscores/202203020DEN.html
2022-03-02 10:00:00,Portland Trail Blazers,90,Phoenix Suns,120,0,17071,Phoenix Suns Arena,/boxscores/202203020PHO.html
2022-03-03 07:00:00,Chicago Bulls,124,Atlanta Hawks,130,0,17522,State Farm Arena,/boxscores/202203030ATL.html
2022-03-03 07:30:00,Memphis Grizzlies,107,Boston Celtics,120,0,19156,TD Garden,/boxscores/202203030BOS.html
2022-03-03 07:30:00,Miami Heat,113,Brooklyn Nets,107,0,17732,Barclays Center,/boxscores/202203030BRK.html
2022-03-03 07:30:00,Detroit Pistons,108,Toronto Raptors,106,0,19548,Scotiabank Arena,/boxscores/202203030TOR.html
2022-03-03 08:30:00,Golden State Warriors,113,Dallas Mavericks,122,0,20229,American Airlines Center,/boxscores/202203030DAL.html
2022-03-03 08:30:00,Sacramento Kings,115,San Antonio Spurs,112,0,13049,AT&T Center,/boxscores/202203030SAS.html
2022-03-03 10:00:00,Los Angeles Lakers,111,Los Angeles Clippers,132,0,19068,Crypto.com Arena,/boxscores/202203030LAC.html
2022-03-04 07:00:00,Indiana Pacers,106,Detroit Pistons,111,0,17244,Little Caesars Arena,/boxscores/202203040DET.html
2022-03-04 07:00:00,Cleveland Cavaliers,119,Philadelphia 76ers,125,0,21391,Wells Fargo Center,/boxscores/202203040PHI.html
2022-03-04 07:00:00,Atlanta Hawks,117,Washington Wizards,114,0,15927,Capital One Arena,/boxscores/202203040WAS.html
2022-03-04 07:30:00,Milwaukee Bucks,118,Chicago Bulls,112,0,21259,United Center,/boxscores/202203040CHI.html
2022-03-04 07:30:00,Orlando Magic,103,Toronto Raptors,97,0,19081,Scotiabank Arena,/boxscores/202203040TOR.html
2022-03-04 08:00:00,Utah Jazz,90,New Orleans Pelicans,124,0,16178,Smoothie King Center,/boxscores/202203040NOP.html
2022-03-04 08:00:00,Minnesota Timberwolves,138,Oklahoma City Thunder,101,0,15180,Paycom Center,/boxscores/202203040OKC.html
2022-03-04 09:00:00,Houston Rockets,101,Denver Nuggets,116,0,16254,Ball Arena,/boxscores/202203040DEN.html
2022-03-04 10:00:00,New York Knicks,114,Phoenix Suns,115,0,17071,Phoenix Suns Arena,/boxscores/202203040PHO.html
2022-03-05 05:00:00,Sacramento Kings,113,Dallas Mavericks,114,0,20060,American Airlines Center,/boxscores/202203050DAL.html
2022-03-05 07:00:00,San Antonio Spurs,117,Charlotte Hornets,123,0,18941,Spectrum Center,/boxscores/202203050CHO.html
2022-03-05 08:00:00,Orlando Magic,96,Memphis Grizzlies,124,0,17794,FedEx Forum,/boxscores/202203050MEM.html
2022-03-05 08:00:00,Philadelphia 76ers,82,Miami Heat,99,0,19704,FTX Arena,/boxscores/202203050MIA.html
2022-03-05 08:00:00,Portland Trail Blazers,121,Minnesota Timberwolves,135,0,17136,Target Center,/boxscores/202203050MIN.html
2022-03-05 08:30:00,Golden State Warriors,116,Los Angeles Lakers,124,0,18997,Crypto.com Arena,/boxscores/202203050LAL.html
2022-03-06 01:00:00,Brooklyn Nets,120,Boston Celtics,126,0,19156,TD Garden,/boxscores/202203060BOS.html
2022-03-06 03:30:00,Phoenix Suns,122,Milwaukee Bucks,132,0,17495,Fiserv Forum,/boxscores/202203060MIL.html
2022-03-06 06:00:00,Indiana Pacers,123,Washington Wizards,133,0,13937,Capital One Arena,/boxscores/202203060WAS.html
2022-03-06 07:00:00,Memphis Grizzlies,112,Houston Rockets,123,0,18055,Toyota Center,/boxscores/202203060HOU.html
2022-03-06 07:00:00,Utah Jazz,116,Oklahoma City Thunder,103,0,15079,Paycom Center,/boxscores/202203060OKC.html
2022-03-06 07:30:00,Toronto Raptors,96,Cleveland Cavaliers,104,0,19432,Rocket Mortgage Fieldhouse,/boxscores/202203060CLE.html
2022-03-06 08:00:00,New Orleans Pelicans,130,Denver Nuggets,138,1,14962,Ball Arena,/boxscores/202203060DEN.html
2022-03-06 10:00:00,New York Knicks,116,Los Angeles Clippers,93,0,17422,Crypto.com Arena,/boxscores/202203060LAC.html
2022-03-07 07:00:00,Atlanta Hawks,110,Detroit Pistons,113,1,14942,Little Caesars Arena,/boxscores/202203070DET.html
2022-03-07 07:00:00,Chicago Bulls,106,Philadelphia 76ers,121,0,20381,Wells Fargo Center,/boxscores/202203070PHI.html
2022-03-07 07:30:00,Houston Rockets,106,Miami Heat,123,0,19600,FTX Arena,/boxscores/202203070MIA.html
2022-03-07 08:00:00,Portland Trail Blazers,81,Minnesota Timberwolves,124,0,16035,Target Center,/boxscores/202203070MIN.html
2022-03-07 08:30:00,Utah Jazz,103,Dallas Mavericks,111,0,20077,American Airlines Center,/boxscores/202203070DAL.html
2022-03-07 08:30:00,Los Angeles Lakers,110,San Antonio Spurs,117,0,18354,AT&T Center,/boxscores/202203070SAS.html
2022-03-07 09:00:00,Golden State Warriors,124,Denver Nuggets,131,0,19542,Ball Arena,/boxscores/202203070DEN.html
2022-03-07 10:30:00,New York Knicks,131,Sacramento Kings,115,0,14720,Golden 1 Center,/boxscores/202203070SAC.html
2022-03-08 07:00:00,Brooklyn Nets,132,Charlotte Hornets,121,0,17230,Spectrum Center,/boxscores/202203080CHO.html
2022-03-08 07:00:00,Cleveland Cavaliers,127,Indiana Pacers,124,0,14066,Gainbridge Fieldhouse,/boxscores/202203080IND.html
2022-03-08 07:00:00,Phoenix Suns,102,Orlando Magic,99,0,14024,Amway Center,/boxscores/202203080ORL.html
2022-03-08 07:30:00,New Orleans Pelicans,111,Memphis Grizzlies,132,0,16433,FedEx Forum,/boxscores/202203080MEM.html
2022-03-08 08:00:00,Milwaukee Bucks,142,Oklahoma City Thunder,115,0,15743,Paycom Center,/boxscores/202203080OKC.html
2022-03-08 10:00:00,Los Angeles Clippers,97,Golden State Warriors,112,0,18064,Chase Center,/boxscores/202203080GSW.html
2022-03-09 07:00:00,Boston Celtics,115,Charlotte Hornets,101,0,18086,Spectrum Center,/boxscores/202203090CHO.html
2022-03-09 07:00:00,Chicago Bulls,114,Detroit Pistons,108,0,18022,Little Caesars Arena,/boxscores/202203090DET.html
2022-03-09 07:30:00,Phoenix Suns,111,Miami Heat,90,0,19600,FTX Arena,/boxscores/202203090MIA.html
2022-03-09 08:00:00,Los Angeles Lakers,130,Houston Rockets,139,1,18055,Toyota Center,/boxscores/202203090HOU.html
2022-03-09 08:00:00,Atlanta Hawks,115,Milwaukee Bucks,124,0,17341,Fiserv Forum,/boxscores/202203090MIL.html
2022-03-09 08:00:00,Oklahoma City Thunder,102,Minnesota Timberwolves,132,0,16191,Target Center,/boxscores/202203090MIN.html
2022-03-09 08:00:00,Orlando Magic,108,New Orleans Pelicans,102,0,15633,Smoothie King Center,/boxscores/202203090NOP.html
2022-03-09 08:30:00,New York Knicks,107,Dallas Mavericks,77,0,20182,American Airlines Center,/boxscores/202203090DAL.html
2022-03-09 08:30:00,Toronto Raptors,119,San Antonio Spurs,104,0,15121,AT&T Center,/boxscores/202203090SAS.html
2022-03-09 10:00:00,Denver Nuggets,106,Sacramento Kings,100,0,14697,Golden 1 Center,/boxscores/202203090SAC.html
2022-03-09 10:00:00,Portland Trail Blazers,85,Utah Jazz,123,0,18306,Vivint Smart Home Arena,/boxscores/202203090UTA.html
2022-03-09 10:30:00,Washington Wizards,109,Los Angeles Clippers,115,0,15282,Crypto.com Arena,/boxscores/202203090LAC.html
2022-03-10 07:30:00,Brooklyn Nets,129,Philadelphia 76ers,100,0,21408,Wells Fargo Center,/boxscores/202203100PHI.html
2022-03-10 10:00:00,Golden State Warriors,113,Denver Nuggets,102,0,19520,Ball Arena,/boxscores/202203100DEN.html
2022-03-11 07:00:00,Minnesota Timberwolves,110,Orlando Magic,118,0,14557,Amway Center,/boxscores/202203110ORL.html
2022-03-11 07:30:00,Los Angeles Clippers,106,Atlanta Hawks,112,0,16862,State Farm Arena,/boxscores/202203110ATL.html
2022-03-11 07:30:00,Detroit Pistons,103,Boston Celtics,114,0,19156,TD Garden,/boxscores/202203110BOS.html
2022-03-11 08:00:00,Dallas Mavericks,113,Houston Rockets,100,0,15060,Toyota Center,/boxscores/202203110HOU.html
2022-03-11 08:00:00,New York Knicks,114,Memphis Grizzlies,118,0,17188,FedEx Forum,/boxscores/202203110MEM.html
2022-03-11 08:00:00,Cleveland Cavaliers,105,Miami Heat,117,0,19600,FTX Arena,/boxscores/202203110MIA.html
2022-03-11 08:00:00,Charlotte Hornets,142,New Orleans Pelicans,120,0,16838,Smoothie King Center,/boxscores/202203110NOP.html
2022-03-11 08:30:00,Utah Jazz,102,San Antonio Spurs,104,0,15753,AT&T Center,/boxscores/202203110SAS.html
2022-03-11 09:00:00,Toronto Raptors,117,Phoenix Suns,112,0,17071,Phoenix Suns Arena,/boxscores/202203110PHO.html
2022-03-11 10:30:00,Washington Wizards,109,Los Angeles Lakers,122,0,18997,Crypto.com Arena,/boxscores/202203110LAL.html
2022-03-12 08:00:00,Cleveland Cavaliers,91,Chicago Bulls,101,0,21727,United Center,/boxscores/202203120CHI.html
2022-03-12 08:00:00,Minnesota Timberwolves,113,Miami Heat,104,0,19600,FTX Arena,/boxscores/202203120MIA.html
2022-03-12 08:00:00,Indiana Pacers,119,San Antonio Spurs,108,0,14605,AT&T Center,/boxscores/202203120SAS.html
2022-03-12 08:30:00,Milwaukee Bucks,109,Golden State Warriors,122,0,18064,Chase Center,/boxscores/202203120GSW.html
2022-03-12 09:00:00,Toronto Raptors,127,Denver Nuggets,115,0,18659,Ball Arena,/boxscores/202203120DEN.html
2022-03-12 09:00:00,Sacramento Kings,125,Utah Jazz,134,0,18306,Vivint Smart Home Arena,/boxscores/202203120UTA.html
2022-03-12 10:00:00,Washington Wizards,118,Portland Trail Blazers,127,0,17524,Moda Center,/boxscores/202203120POR.html
2022-03-13 01:00:00,New York Knicks,107,Brooklyn Nets,110,0,18057,Barclays Center,/boxscores/202203130BRK.html
2022-03-13 03:00:00,Los Angeles Clippers,106,Detroit Pistons,102,0,19313,Little Caesars Arena,/boxscores/202203130DET.html
2022-03-13 03:30:00,Dallas Mavericks,95,Boston Celtics,92,0,19156,TD Garden,/boxscores/202203130BOS.html
2022-03-13 06:00:00,Philadelphia 76ers,116,Orlando Magic,114,1,14444,Amway Center,/boxscores/202203130ORL.html
2022-03-13 07:00:00,Indiana Pacers,128,Atlanta Hawks,131,0,17038,State Farm Arena,/boxscores/202203130ATL.html
2022-03-13 07:00:00,Houston Rockets,105,New Orleans Pelicans,130,0,15683,Smoothie King Center,/boxscores/202203130NOP.html
2022-03-13 07:00:00,Memphis Grizzlies,125,Oklahoma City Thunder,118,0,17482,Paycom Center,/boxscores/202203130OKC.html
2022-03-13 09:00:00,Los Angeles Lakers,111,Phoenix Suns,140,0,17071,Phoenix Suns Arena,/boxscores/202203130PHO.html
2022-03-14 07:00:00,Los Angeles Clippers,111,Cleveland Cavaliers,120,1,18742,Rocket Mortgage Fieldhouse,/boxscores/202203140CLE.html
2022-03-14 07:30:00,Portland Trail Blazers,113,Atlanta Hawks,122,0,16432,State Farm Arena,/boxscores/202203140ATL.html
2022-03-14 07:30:00,Denver Nuggets,114,Philadelphia 76ers,110,0,21444,Wells Fargo Center,/boxscores/202203140PHI.html
2022-03-14 08:00:00,Charlotte Hornets,134,Oklahoma City Thunder,116,0,15810,Paycom Center,/boxscores/202203140OKC.html
2022-03-14 08:30:00,Minnesota Timberwolves,149,San Antonio Spurs,139,0,14143,AT&T Center,/boxscores/202203140SAS.html
2022-03-14 10:00:00,Washington Wizards,112,Golden State Warriors,126,0,18064,Chase Center,/boxscores/202203140GSW.html
2022-03-14 10:00:00,Chicago Bulls,103,Sacramento Kings,112,0,15943,Golden 1 Center,/boxscores/202203140SAC.html
2022-03-14 10:00:00,Milwaukee Bucks,117,Utah Jazz,111,0,18306,Vivint Smart Home Arena,/boxscores/202203140UTA.html
2022-03-14 10:30:00,Toronto Raptors,114,Los Angeles Lakers,103,0,18228,Crypto.com Arena,/boxscores/202203140LAL.html
2022-03-15 07:00:00,Memphis Grizzlies,135,Indiana Pacers,102,0,15027,Gainbridge Fieldhouse,/boxscores/202203150IND.html
2022-03-15 07:00:00,Brooklyn Nets,150,Orlando Magic,108,0,15282,Amway Center,/boxscores/202203150ORL.html
2022-03-15 07:30:00,Detroit Pistons,98,Miami Heat,105,0,19600,FTX Arena,/boxscores/202203150MIA.html
2022-03-15 08:00:00,Phoenix Suns,131,New Orleans Pelicans,115,0,16789,Smoothie King Center,/boxscores/202203150NOP.html
2022-03-16 07:00:00,Atlanta Hawks,106,Charlotte Hornets,116,0,16648,Spectrum Center,/boxscores/202203160CHO.html
2022-03-16 07:00:00,Philadelphia 76ers,118,Cleveland Cavaliers,114,0,19432,Rocket Mortgage Fieldhouse,/boxscores/202203160CLE.html
2022-03-16 07:00:00,Denver Nuggets,127,Washington Wizards,109,0,15326,Capital One Arena,/boxscores/202203160WAS.html
2022-03-16 07:30:00,Dallas Mavericks,113,Brooklyn Nets,111,0,17981,Barclays Center,/boxscores/202203160BRK.html
2022-03-16 07:30:00,Portland Trail Blazers,98,New York Knicks,128,0,18213,Madison Square Garden (IV),/boxscores/202203160NYK.html
2022-03-16 08:00:00,Phoenix Suns,129,Houston Rockets,112,0,18055,Toyota Center,/boxscores/202203160HOU.html
2022-03-16 08:00:00,Los Angeles Lakers,104,Minnesota Timberwolves,124,0,17136,Target Center,/boxscores/202203160MIN.html
2022-03-16 08:30:00,Oklahoma City Thunder,120,San Antonio Spurs,122,0,14994,AT&T Center,/boxscores/202203160SAS.html
2022-03-16 09:00:00,Chicago Bulls,110,Utah Jazz,125,0,18306,Vivint Smart Home Arena,/boxscores/202203160UTA.html
2022-03-16 10:00:00,Boston Celtics,110,Golden State Warriors,88,0,18064,Chase Center,/boxscores/202203160GSW.html
2022-03-16 10:00:00,Milwaukee Bucks,135,Sacramento Kings,126,0,15864,Golden 1 Center,/boxscores/202203160SAC.html
2022-03-16 10:30:00,Toronto Raptors,103,Los Angeles Clippers,100,0,19068,Crypto.com Arena,/boxscores/202203160LAC.html
2022-03-17 07:00:00,Detroit Pistons,134,Orlando Magic,120,0,14369,Amway Center,/boxscores/202203170ORL.html
2022-03-18 07:00:00,Dallas Mavericks,101,Philadelphia 76ers,111,0,21428,Wells Fargo Center,/boxscores/202203180PHI.html
2022-03-18 07:30:00,Memphis Grizzlies,105,Atlanta Hawks,120,0,18062,State Farm Arena,/boxscores/202203180ATL.html
2022-03-18 07:30:00,Portland Trail Blazers,123,Brooklyn Nets,128,0,17732,Barclays Center,/boxscores/202203180BRK.html
2022-03-18 07:30:00,Denver Nuggets,116,Cleveland Cavaliers,119,1,19432,Rocket Mortgage Fieldhouse,/boxscores/202203180CLE.html
2022-03-18 07:30:00,Washington Wizards,97,New York Knicks,100,0,19812,Madison Square Garden (IV),/boxscores/202203180NYK.html
2022-03-18 07:30:00,Los Angeles Lakers,128,Toronto Raptors,123,1,19800,Scotiabank Arena,/boxscores/202203180TOR.html
2022-03-18 08:00:00,Indiana Pacers,121,Houston Rockets,118,0,13748,Toyota Center,/boxscores/202203180HOU.html
2022-03-18 08:00:00,Oklahoma City Thunder,108,Miami Heat,120,0,19600,FTX Arena,/boxscores/202203180MIA.html
2022-03-18 08:30:00,New Orleans Pelicans,124,San Antonio Spurs,91,0,18354,AT&T Center,/boxscores/202203180SAS.html
2022-03-18 09:00:00,Los Angeles Clippers,92,Utah Jazz,121,0,18306,Vivint Smart Home Arena,/boxscores/202203180UTA.html
2022-03-18 10:00:00,Chicago Bulls,102,Phoenix Suns,129,0,17071,Phoenix Suns Arena,/boxscores/202203180PHO.html
2022-03-18 10:00:00,Boston Celtics,126,Sacramento Kings,97,0,15313,Golden 1 Center,/boxscores/202203180SAC.html
2022-03-19 05:00:00,Milwaukee Bucks,119,Minnesota Timberwolves,138,0,17136,Target Center,/boxscores/202203190MIN.html
2022-03-19 07:00:00,Dallas Mavericks,108,Charlotte Hornets,129,0,19279,Spectrum Center,/boxscores/202203190CHO.html
2022-03-19 08:00:00,Detroit Pistons,109,Cleveland Cavaliers,113,0,19432,Rocket Mortgage Fieldhouse,/boxscores/202203190CLE.html
2022-03-19 08:00:00,Los Angeles Lakers,119,Washington Wizards,127,0,20476,Capital One Arena,/boxscores/202203190WAS.html
2022-03-20 03:30:00,Memphis Grizzlies,122,Houston Rockets,98,0,18055,Toyota Center,/boxscores/202203200HOU.html
2022-03-20 03:30:00,Portland Trail Blazers,98,Indiana Pacers,129,0,16067,Gainbridge Fieldhouse,/boxscores/202203200IND.html
